traceID,spanID,starttime,operationName,servicename,podname,childSpanId,childTraceId,duration,http.status_code,container,instance,container_cpu_usage_seconds_total,container_memory_working_set_bytes,trace_length
c79486676a6a1371,f4f5651146937f75,2022-07-13T10:10:00.000000,GET,ts-basic-service,ts-basic-service-6f4c9f549d-gz4vr,8490860bcf9f1e93,c79486676a6a1371,21521,200,ts-basic-service,10.252.1.23:10250,92.686655178,,6
c79486676a6a1371,8bb7d84661d83709,2022-07-13T10:10:00.000000,queryForStationId,ts-station-service,ts-station-service-668c467cc6-wctrm,262ace3203d4e5e3,c79486676a6a1371,9732,200,ts-station-service,10.252.1.21:10250,97.867901038,313798656.0,7
ba17990206955345,1882c0d9f36d78b5,2022-07-13T10:45:00.000000,GET,ts-basic-service,ts-basic-service-6f4c9f549d-gz4vr,ebd45edb12188c5a,ba17990206955345,12043,200,ts-basic-service,10.252.1.23:10250,94.909203936,342372352.0,6
58663a90e5c893c5,b2133bb4a1fe26a2,2022-07-13T10:10:00.000000,create,ts-seat-service,ts-seat-service-57bd448567-dtxjp,d3494541b57deeb7,58663a90e5c893c5,290829,200,ts-seat-service,10.252.1.21:10250,86.987899626,306438144.0,3
ff3555e224a5776a,3b296d9ae85d4c19,2022-07-13T10:45:00.000000,GET,ts-route-service,ts-route-service-7487b7b9-457v2,092c9bb89b9c5a1f,ff3555e224a5776a,8562,200,ts-route-service,10.252.1.22:10250,95.204174061,359342080.0,6
c79486676a6a1371,04bcb28d4a2383f2,2022-07-13T10:10:00.000000,queryForStationId,ts-basic-service,ts-basic-service-6f4c9f549d-gz4vr,e6cf383f0a6a1c79,c79486676a6a1371,79704,200,ts-basic-service,10.252.1.23:10250,92.686655178,,5
3ba611826af6fc09,3ba611826af6fc09,2022-07-13T10:15:00.000000,addContacts,ts-admin-basic-info-service,ts-admin-basic-info-service-84db9fc8fb-nl55r,,,540879,200,ts-admin-basic-info-service,10.252.1.23:10250,77.475404656,294985728.0,1
ba17990206955345,f13f8cd9ad633296,2022-07-13T10:45:00.000000,getLeftTicketOfInterval,ts-seat-service,ts-seat-service-57bd448567-dtxjp,72a95bf82888bd1a,ba17990206955345,1100059,200,ts-seat-service,10.252.1.21:10250,89.681380886,307400704.0,3
58663a90e5c893c5,e82548d38556da7d,2022-07-13T10:10:00.000000,queryForStationId,ts-route-service,ts-route-service-7487b7b9-457v2,22ea46a4c812bbb6,58663a90e5c893c5,246776,200,ts-route-service,10.252.1.22:10250,91.771614445,358338560.0,7
a4d954c05b5ffb55,a4d954c05b5ffb55,2022-07-13T10:15:00.000000,pay,ts-inside-payment-service,ts-inside-payment-service-8496fc9c89-ht8z4,,,1067917,200,ts-inside-payment-service,10.252.1.23:10250,94.060621719,298647552.0,1
ff3555e224a5776a,745079b941e90175,2022-07-13T10:45:00.000000,POST,ts-train-service,ts-train-service-58bd787df8-9xfcv,ff3555e224a5776a,ff3555e224a5776a,96801,200,ts-train-service,10.252.1.21:10250,94.259532546,290611200.0,2
58663a90e5c893c5,db3416e460a81fac,2022-07-13T10:10:00.000000,POST,ts-config-service,ts-config-service-7d5798457d-kxl74,58663a90e5c893c5,58663a90e5c893c5,700493,200,ts-config-service,10.252.1.23:10250,92.210613181,,2
c79486676a6a1371,e2c96e25ef930da5,2022-07-13T10:10:00.000000,queryForStationId,ts-station-service,ts-station-service-668c467cc6-wctrm,28470094a0e3fcdd,c79486676a6a1371,38371,200,ts-station-service,10.252.1.21:10250,97.867901038,313798656.0,7
ff3555e224a5776a,a41eb68522d03d4e,2022-07-13T10:45:00.000000,retrieve,ts-config-service,ts-config-service-7d5798457d-kxl74,52299b67555bed24,ff3555e224a5776a,100684,200,ts-config-service,10.252.1.23:10250,94.999473947,326893568.0,7
618e63a8fca0d439,f031bad48621161a,2022-07-13T10:15:00.000000,createTrip,ts-travel-service,ts-travel-service-f6bbd6b76-tw6wx,5e23693966c15c42,618e63a8fca0d439,88481,201,ts-travel-service,10.252.1.21:10250,95.877139687,302161920.0,3
58663a90e5c893c5,c9cc40fd91ad1f77,2022-07-13T10:10:00.000000,getRouteByTripId,ts-travel-service,ts-travel-service-f6bbd6b76-tw6wx,d7f46204b9a12ed9,58663a90e5c893c5,168144,200,ts-travel-service,10.252.1.21:10250,95.842189416,302157824.0,7
